Entity,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Accepted,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Approved,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Realized,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Finished,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Applicants to Completed,Country
UDLA,14.29%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.14,0.0%,0.0%,0.0%,0.0%,66.67%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ecuador
USFQ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ecuador
Ambato,75.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,75.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,175.0%,0.0%,0.0%,0.0%,233.33%,0.0%,0.0%,250.0,0.0%,0.0%,0.0%,333.33%,0.0%,0.0%,225.0,0.0%,0.0%,0.0%,300.0%,0.0%,0.0%,Ecuador
Cuenca,39.39%,27.27%,0.0%,0.0%,100.0%,0.0%,0.0%,12.12%,0.0%,0.0%,0.0%,57.14%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,9.09,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ecuador
Loja,9.09%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,18.18,0.0%,0.0%,0.0%,0.0%,28.57%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ecuador
Machala,50.0%,0.0%,0.0%,0.0%,66.67%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,75.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,75.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,66.67%,0.0%,0.0%,Ecuador
ESPE,20.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ecuador
Expansiones Ecuador,17.95%,0.0%,0.0%,0.0%,100.0%,18.18%,0.0%,15.38%,0.0%,0.0%,0.0%,80.0%,18.18%,0.0%,7.69%,0.0%,0.0%,0.0%,20.0%,18.18%,0.0%,10.26,0.0%,0.0%,8.7%,20.0%,0.0%,0.0%,2.56,0.0%,0.0%,0.0%,20.0%,0.0%,0.0%,Ecuador
Guayaquil,33.33%,0.0%,0.0%,0.0%,0.0%,33.33%,0.0%,33.33%,0.0%,0.0%,0.0%,0.0%,33.33%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,46.67,0.0%,0.0%,0.0%,0.0%,33.33%,0.0%,6.67,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ecuador
Manabi,12.33%,8.96%,0.0%,0.0%,75.0%,0.0%,0.0%,8.22%,4.48%,0.0%,0.0%,75.0%,0.0%,0.0%,17.81%,0.0%,0.0%,0.0%,325.0%,0.0%,0.0%,20.55,0.0%,0.0%,0.0%,375.0%,0.0%,0.0%,19.18,0.0%,0.0%,0.0%,350.0%,0.0%,0.0%,Ecuador
Ain Shams University,28.84%,62.07%,3.26%,14.84%,65.62%,14.86%,28.21%,20.95%,55.86%,2.79%,11.72%,38.54%,6.76%,5.13%,1.43%,4.14%,0.0%,0.78%,2.08%,0.0%,2.56%,5.16,10.34%,2.79%,4.69%,3.12%,4.05%,7.69%,2.15,6.21%,0.93%,0.78%,2.08%,1.35%,0.0%,Egypt
Helwan,31.96%,51.02%,4.51%,100.0%,64.77%,6.98%,28.0%,18.56%,35.71%,3.76%,100.0%,28.41%,4.65%,16.0%,3.35%,7.14%,0.75%,0.0%,2.27%,0.0%,12.0%,4.64,8.16%,3.01%,0.0%,2.27%,0.0%,16.0%,1.03,3.06%,0.0%,0.0%,1.14%,0.0%,0.0%,Egypt
Damietta,42.31%,33.33%,0.0%,0.0%,61.9%,0.0%,0.0%,21.15%,14.81%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.92,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%,1.92,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%,Egypt
Tanta,58.33%,62.82%,25.0%,0.0%,79.63%,10.53%,20.0%,35.71%,41.03%,25.0%,0.0%,40.74%,10.53%,20.0%,1.79%,3.85%,0.0%,0.0%,0.0%,0.0%,0.0%,3.57,5.13%,0.0%,0.0%,1.85%,0.0%,20.0%,1.19,1.28%,0.0%,0.0%,0.0%,0.0%,20.0%,Egypt
Menofia,39.74%,68.89%,11.54%,11.25%,57.35%,4.76%,50.0%,27.44%,51.85%,8.97%,7.5%,32.35%,4.76%,12.5%,2.31%,3.7%,1.28%,2.5%,1.47%,0.0%,0.0%,3.33,3.7%,3.85%,2.5%,2.94%,0.0%,12.5%,1.03,0.74%,1.28%,1.25%,1.47%,0.0%,0.0%,Egypt
Zagazig,30.5%,52.21%,6.25%,0.0%,68.89%,0.0%,50.0%,17.89%,34.51%,3.75%,0.0%,31.11%,0.0%,25.0%,2.05%,1.77%,0.0%,0.0%,6.67%,0.0%,25.0%,5.57,7.96%,0.62%,0.0%,11.11%,0.0%,50.0%,3.52,6.19%,0.62%,0.0%,8.89%,0.0%,0.0%,Egypt
AAST In CAIRO,20.13%,51.16%,3.27%,7.29%,70.31%,22.22%,50.0%,14.38%,27.91%,2.8%,2.08%,53.12%,22.22%,62.5%,1.77%,0.0%,0.0%,2.08%,1.56%,14.81%,12.5%,2.21,0.0%,0.0%,1.04%,1.56%,25.93%,12.5%,0.22,0.0%,0.0%,0.0%,0.0%,3.7%,0.0%,Egypt
AUC,43.42%,51.72%,0.0%,0.0%,34.48%,43.75%,50.0%,28.95%,34.48%,0.0%,0.0%,24.14%,25.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.32,0.0%,0.0%,0.0%,3.45%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Egypt
Market expansion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Egypt
GUC,36.34%,58.48%,2.48%,0.0%,63.89%,10.26%,0.0%,26.13%,41.52%,2.48%,0.0%,47.22%,5.13%,0.0%,2.38%,5.26%,0.83%,0.0%,0.0%,0.0%,0.0%,4.28,8.77%,1.65%,0.0%,0.0%,2.56%,0.0%,2.14,4.68%,0.83%,0.0%,0.0%,0.0%,0.0%,Egypt
Suez,23.04%,27.14%,0.0%,7.84%,73.33%,9.09%,0.0%,11.52%,11.43%,0.0%,7.84%,30.0%,0.0%,0.0%,0.92%,0.0%,0.0%,0.0%,6.67%,0.0%,0.0%,1.38,0.0%,0.0%,0.0%,6.67%,9.09%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Egypt
6th October University,46.3%,41.14%,0.0%,0.0%,61.11%,27.78%,33.33%,26.05%,30.38%,0.0%,0.0%,24.07%,13.89%,22.22%,2.57%,1.27%,0.0%,0.0%,3.7%,5.56%,0.0%,3.86,2.53%,0.0%,0.0%,3.7%,11.11%,0.0%,2.25,1.9%,0.0%,0.0%,3.7%,0.0%,0.0%,Egypt
Galala,33.33%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Egypt
MUST,39.93%,43.96%,10.0%,26.67%,53.15%,19.23%,20.0%,30.2%,35.16%,5.0%,15.56%,42.34%,7.69%,20.0%,1.68%,3.3%,0.0%,2.22%,0.0%,3.85%,0.0%,1.68,3.3%,0.0%,2.22%,0.0%,3.85%,0.0%,0.67,2.2%,0.0%,0.0%,0.0%,0.0%,0.0%,Egypt
AAST Alexandria,32.24%,54.17%,4.44%,0.0%,53.85%,6.67%,0.0%,20.41%,43.06%,2.22%,0.0%,24.62%,6.67%,0.0%,1.63%,1.39%,1.11%,0.0%,1.54%,6.67%,0.0%,2.04,1.39%,1.11%,0.0%,1.54%,13.33%,0.0%,1.22,1.39%,1.11%,0.0%,1.54%,0.0%,0.0%,Egypt
Cairo University,51.1%,76.8%,7.41%,16.67%,66.67%,17.74%,23.08%,33.52%,56.0%,3.7%,8.33%,39.39%,9.68%,12.82%,1.1%,0.8%,0.0%,0.0%,1.01%,0.0%,5.13%,3.02,1.6%,0.0%,0.0%,3.03%,1.61%,12.82%,0.55,0.8%,0.0%,0.0%,0.0%,0.0%,2.56%,Egypt
MIU,51.11%,40.91%,0.0%,0.0%,66.67%,21.43%,33.33%,36.67%,13.64%,0.0%,0.0%,50.0%,28.57%,33.33%,3.33%,4.55%,0.0%,0.0%,0.0%,14.29%,0.0%,4.44,4.55%,0.0%,0.0%,0.0%,14.29%,16.67%,1.11,0.0%,0.0%,0.0%,0.0%,7.14%,0.0%,Egypt
Mansoura,40.26%,42.5%,0.0%,0.0%,44.9%,16.67%,30.77%,22.08%,26.25%,0.0%,0.0%,16.33%,8.33%,30.77%,1.3%,1.25%,0.0%,0.0%,0.0%,8.33%,0.0%,3.9,1.25%,0.0%,0.0%,0.0%,8.33%,30.77%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Egypt
MSA,28.57%,11.11%,0.0%,0.0%,46.34%,4.55%,20.0%,6.49%,11.11%,0.0%,0.0%,7.32%,0.0%,20.0%,1.3%,0.0%,0.0%,0.0%,2.44%,0.0%,0.0%,2.6,0.0%,0.0%,0.0%,2.44%,0.0%,20.0%,1.3,0.0%,0.0%,0.0%,2.44%,0.0%,0.0%,Egypt
Alexandria,50.77%,70.0%,0.0%,15.38%,67.74%,11.9%,30.77%,26.53%,37.14%,0.0%,7.69%,32.26%,9.52%,23.08%,4.08%,4.29%,0.0%,0.0%,4.84%,2.38%,11.54%,7.91,5.71%,0.0%,0.0%,6.45%,16.67%,30.77%,1.79,0.71%,0.0%,0.0%,4.03%,0.0%,3.85%,Egypt
Beni Suef,31.03%,0.0%,0.0%,0.0%,36.84%,0.0%,33.33%,24.14%,0.0%,0.0%,0.0%,26.32%,0.0%,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.45,0.0%,0.0%,0.0%,0.0%,0.0%,16.67%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Egypt
MC Egypt,12.5%,0.0%,0.0%,0.0%,25.0%,6.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.56,0.0%,0.0%,0.0%,0.0%,0.0%,9.09%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Egypt
ECMH,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,El Salvador
ESEN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,El Salvador
MC El Salvador,26.67%,0.0%,50.0%,25.0%,0.0%,0.0%,0.0%,13.33%,0.0%,50.0%,8.33%,0.0%,0.0%,0.0%,6.67%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,6.67,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,El Salvador
San Miguel,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,El Salvador
USAM,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,El Salvador
Santa Ana,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,El Salvador
Zona Central,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,El Salvador
MC Estonia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Estonia
Tallinn,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Estonia
Tartu,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Estonia
Expansions DBU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
Expansions Hawassa University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
MC Ethiopia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
MEKELLE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
Other Universities and Institutions,20.0%,0.0%,0.0%,0.0%,44.44%,0.0%,0.0%,10.0%,0.0%,0.0%,0.0%,22.22%,0.0%,0.0%,5.0%,0.0%,0.0%,0.0%,11.11%,0.0%,0.0%,5.0,0.0%,0.0%,0.0%,11.11%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
School of Commerce (SOC),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.33,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
AAU in ETHIOPIA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.33,0.0%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
EIABC,12.5%,0.0%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ethiopia
Fiji National University (FNU),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fiji
The University of Fiji (UniFiji),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fiji
University of the South Pacific (USP),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fiji
National Office (FI),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
Oulu,50.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
TAMPERE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
Helsinki,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
JYVÄSKYLÄ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
Turku,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Finland
Toulouse,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
Universités de Paris,44.44%,0.0%,0.0%,0.0%,110.0%,6.25%,0.0%,22.22%,0.0%,0.0%,0.0%,60.0%,0.0%,0.0%,3.7%,0.0%,0.0%,0.0%,10.0%,0.0%,0.0%,11.11,0.0%,0.0%,0.0%,10.0%,12.5%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
Lyon,41.67%,0.0%,0.0%,0.0%,300.0%,22.22%,0.0%,25.0%,0.0%,0.0%,0.0%,100.0%,22.22%,0.0%,16.67%,0.0%,0.0%,0.0%,100.0%,11.11%,0.0%,25.0,0.0%,0.0%,0.0%,100.0%,22.22%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
Rennes,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
Montpellier Business School,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
MC France,3.51%,0.0%,0.49%,0.0%,100.0%,25.0%,0.0%,1.32%,0.0%,0.49%,0.0%,33.33%,6.25%,0.0%,0.88%,0.0%,0.49%,0.0%,33.33%,0.0%,0.0%,2.63,0.0%,0.49%,0.0%,33.33%,25.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
Rouen,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.29,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,France
INSG,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Gabon
POG,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Gabon
U.O.B.,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Gabon
Batumi,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Georgia
MC Georgia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Georgia
TBILISI,8.2%,0.0%,0.0%,0.0%,100.0%,0.0%,33.33%,3.28%,0.0%,0.0%,0.0%,66.67%,0.0%,0.0%,3.28%,0.0%,0.0%,0.0%,66.67%,0.0%,0.0%,6.56,0.0%,0.0%,0.0%,100.0%,0.0%,16.67%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Georgia
The University of Georgia,13.33%,0.0%,0.0%,0.0%,25.0%,0.0%,33.33%,13.33%,0.0%,0.0%,0.0%,25.0%,0.0%,33.33%,6.67%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,13.33,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Georgia
BERLIN TU,1.13%,0.0%,0.0%,0.0%,0.0%,13.33%,0.0%,0.56%,0.0%,0.0%,0.0%,0.0%,6.67%,0.0%,1.13%,0.0%,0.64%,0.0%,0.0%,6.67%,0.0%,2.82,0.0%,0.64%,0.0%,0.0%,26.67%,0.0%,0.56,0.0%,0.0%,0.0%,0.0%,6.67%,0.0%,Germany
